"Model","Ecov_how","Ecov_effect","R_sig","NAA_M_re","NAA_re_cor","Ecov_obs_sig","Ecov_re_sig","Ecov_re_cor","Fhist","obs_error","NAA_cor","NAA_re_sig"
"om_1",0,0,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_2",1,0,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_3",2,0,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_4",4,0,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_5",0,0.5,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_6",1,0.5,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_7",2,0.5,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_8",4,0.5,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_9",0,3,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_10",1,3,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_11",2,3,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_12",4,3,0.02,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_13",0,0,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_14",1,0,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_15",2,0,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_16",4,0,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_17",0,0.5,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_18",1,0.5,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_19",2,0.5,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_20",4,0.5,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_21",0,3,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_22",1,3,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_23",2,3,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_24",4,3,0.5,"rec",0,0.02,0.6,0.5,"H-MSY","L","iid",0
"om_25",0,0,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_26",1,0,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_27",2,0,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_28",4,0,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_29",0,0.5,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_30",1,0.5,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_31",2,0.5,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_32",4,0.5,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_33",0,3,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_34",1,3,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_35",2,3,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_36",4,3,0.02,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_37",0,0,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_38",1,0,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_39",2,0,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_40",4,0,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_41",0,0.5,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_42",1,0.5,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_43",2,0.5,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_44",4,0.5,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_45",0,3,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_46",1,3,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_47",2,3,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
"om_48",4,3,0.5,"rec+1",0,0.02,0.6,0.5,"H-MSY","L","iid",0.2
