"Model","NAA_re","Ecov_obs_sig","Ecov_re_sig","obs_error","R_sig","Fhist","NAA_cor","Ecov_re_cor","Ecov_effect","Ecov_how"
"om_1","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.2,0.1,0
"om_2","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.2,0.1,0
"om_3","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.2,0.1,0
"om_4","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.2,0.1,0
"om_5","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.2,0.1,0
"om_6","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.2,0.1,0
"om_7","rec",0.1,0.1,"L",1,"MSY",0.2,0.2,0.1,0
"om_8","rec",0.1,0.1,"H",1,"MSY",0.2,0.2,0.1,0
"om_9","rec",0.1,0.1,"L",0.1,"H-MSY",0.8,0.2,0.1,0
"om_10","rec",0.1,0.1,"H",0.1,"H-MSY",0.8,0.2,0.1,0
"om_11","rec",0.1,0.1,"L",1,"H-MSY",0.8,0.2,0.1,0
"om_12","rec",0.1,0.1,"H",1,"H-MSY",0.8,0.2,0.1,0
"om_13","rec",0.1,0.1,"L",0.1,"MSY",0.8,0.2,0.1,0
"om_14","rec",0.1,0.1,"H",0.1,"MSY",0.8,0.2,0.1,0
"om_15","rec",0.1,0.1,"L",1,"MSY",0.8,0.2,0.1,0
"om_16","rec",0.1,0.1,"H",1,"MSY",0.8,0.2,0.1,0
"om_17","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.8,0.1,0
"om_18","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.8,0.1,0
"om_19","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.8,0.1,0
"om_20","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.8,0.1,0
"om_21","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.8,0.1,0
"om_22","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.8,0.1,0
"om_23","rec",0.1,0.1,"L",1,"MSY",0.2,0.8,0.1,0
"om_24","rec",0.1,0.1,"H",1,"MSY",0.2,0.8,0.1,0
"om_25","rec",0.1,0.1,"L",0.1,"H-MSY",0.8,0.8,0.1,0
"om_26","rec",0.1,0.1,"H",0.1,"H-MSY",0.8,0.8,0.1,0
"om_27","rec",0.1,0.1,"L",1,"H-MSY",0.8,0.8,0.1,0
"om_28","rec",0.1,0.1,"H",1,"H-MSY",0.8,0.8,0.1,0
"om_29","rec",0.1,0.1,"L",0.1,"MSY",0.8,0.8,0.1,0
"om_30","rec",0.1,0.1,"H",0.1,"MSY",0.8,0.8,0.1,0
"om_31","rec",0.1,0.1,"L",1,"MSY",0.8,0.8,0.1,0
"om_32","rec",0.1,0.1,"H",1,"MSY",0.8,0.8,0.1,0
"om_33","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.2,1,0
"om_34","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.2,1,0
"om_35","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.2,1,0
"om_36","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.2,1,0
"om_37","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.2,1,0
"om_38","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.2,1,0
"om_39","rec",0.1,0.1,"L",1,"MSY",0.2,0.2,1,0
"om_40","rec",0.1,0.1,"H",1,"MSY",0.2,0.2,1,0
"om_41","rec",0.1,0.1,"L",0.1,"H-MSY",0.8,0.2,1,0
"om_42","rec",0.1,0.1,"H",0.1,"H-MSY",0.8,0.2,1,0
"om_43","rec",0.1,0.1,"L",1,"H-MSY",0.8,0.2,1,0
"om_44","rec",0.1,0.1,"H",1,"H-MSY",0.8,0.2,1,0
"om_45","rec",0.1,0.1,"L",0.1,"MSY",0.8,0.2,1,0
"om_46","rec",0.1,0.1,"H",0.1,"MSY",0.8,0.2,1,0
"om_47","rec",0.1,0.1,"L",1,"MSY",0.8,0.2,1,0
"om_48","rec",0.1,0.1,"H",1,"MSY",0.8,0.2,1,0
"om_49","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.8,1,0
"om_50","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.8,1,0
"om_51","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.8,1,0
"om_52","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.8,1,0
"om_53","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.8,1,0
"om_54","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.8,1,0
"om_55","rec",0.1,0.1,"L",1,"MSY",0.2,0.8,1,0
"om_56","rec",0.1,0.1,"H",1,"MSY",0.2,0.8,1,0
"om_57","rec",0.1,0.1,"L",0.1,"H-MSY",0.8,0.8,1,0
"om_58","rec",0.1,0.1,"H",0.1,"H-MSY",0.8,0.8,1,0
"om_59","rec",0.1,0.1,"L",1,"H-MSY",0.8,0.8,1,0
"om_60","rec",0.1,0.1,"H",1,"H-MSY",0.8,0.8,1,0
"om_61","rec",0.1,0.1,"L",0.1,"MSY",0.8,0.8,1,0
"om_62","rec",0.1,0.1,"H",0.1,"MSY",0.8,0.8,1,0
"om_63","rec",0.1,0.1,"L",1,"MSY",0.8,0.8,1,0
"om_64","rec",0.1,0.1,"H",1,"MSY",0.8,0.8,1,0
"om_65","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.2,0.1,1
"om_66","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.2,0.1,1
"om_67","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.2,0.1,1
"om_68","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.2,0.1,1
"om_69","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.2,0.1,1
"om_70","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.2,0.1,1
"om_71","rec",0.1,0.1,"L",1,"MSY",0.2,0.2,0.1,1
"om_72","rec",0.1,0.1,"H",1,"MSY",0.2,0.2,0.1,1
"om_73","rec",0.1,0.1,"L",0.1,"H-MSY",0.8,0.2,0.1,1
"om_74","rec",0.1,0.1,"H",0.1,"H-MSY",0.8,0.2,0.1,1
"om_75","rec",0.1,0.1,"L",1,"H-MSY",0.8,0.2,0.1,1
"om_76","rec",0.1,0.1,"H",1,"H-MSY",0.8,0.2,0.1,1
"om_77","rec",0.1,0.1,"L",0.1,"MSY",0.8,0.2,0.1,1
"om_78","rec",0.1,0.1,"H",0.1,"MSY",0.8,0.2,0.1,1
"om_79","rec",0.1,0.1,"L",1,"MSY",0.8,0.2,0.1,1
"om_80","rec",0.1,0.1,"H",1,"MSY",0.8,0.2,0.1,1
"om_81","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.8,0.1,1
"om_82","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.8,0.1,1
"om_83","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.8,0.1,1
"om_84","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.8,0.1,1
"om_85","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.8,0.1,1
"om_86","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.8,0.1,1
"om_87","rec",0.1,0.1,"L",1,"MSY",0.2,0.8,0.1,1
"om_88","rec",0.1,0.1,"H",1,"MSY",0.2,0.8,0.1,1
"om_89","rec",0.1,0.1,"L",0.1,"H-MSY",0.8,0.8,0.1,1
"om_90","rec",0.1,0.1,"H",0.1,"H-MSY",0.8,0.8,0.1,1
"om_91","rec",0.1,0.1,"L",1,"H-MSY",0.8,0.8,0.1,1
"om_92","rec",0.1,0.1,"H",1,"H-MSY",0.8,0.8,0.1,1
"om_93","rec",0.1,0.1,"L",0.1,"MSY",0.8,0.8,0.1,1
"om_94","rec",0.1,0.1,"H",0.1,"MSY",0.8,0.8,0.1,1
"om_95","rec",0.1,0.1,"L",1,"MSY",0.8,0.8,0.1,1
"om_96","rec",0.1,0.1,"H",1,"MSY",0.8,0.8,0.1,1
"om_97","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.2,1,1
"om_98","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.2,1,1
"om_99","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.2,1,1
"om_100","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.2,1,1
"om_101","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.2,1,1
"om_102","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.2,1,1
"om_103","rec",0.1,0.1,"L",1,"MSY",0.2,0.2,1,1
"om_104","rec",0.1,0.1,"H",1,"MSY",0.2,0.2,1,1
"om_105","rec",0.1,0.1,"L",0.1,"H-MSY",0.8,0.2,1,1
"om_106","rec",0.1,0.1,"H",0.1,"H-MSY",0.8,0.2,1,1
"om_107","rec",0.1,0.1,"L",1,"H-MSY",0.8,0.2,1,1
"om_108","rec",0.1,0.1,"H",1,"H-MSY",0.8,0.2,1,1
"om_109","rec",0.1,0.1,"L",0.1,"MSY",0.8,0.2,1,1
"om_110","rec",0.1,0.1,"H",0.1,"MSY",0.8,0.2,1,1
"om_111","rec",0.1,0.1,"L",1,"MSY",0.8,0.2,1,1
"om_112","rec",0.1,0.1,"H",1,"MSY",0.8,0.2,1,1
"om_113","rec",0.1,0.1,"L",0.1,"H-MSY",0.2,0.8,1,1
"om_114","rec",0.1,0.1,"H",0.1,"H-MSY",0.2,0.8,1,1
"om_115","rec",0.1,0.1,"L",1,"H-MSY",0.2,0.8,1,1
"om_116","rec",0.1,0.1,"H",1,"H-MSY",0.2,0.8,1,1
"om_117","rec",0.1,0.1,"L",0.1,"MSY",0.2,0.8,1,1
"om_118","rec",0.1,0.1,"H",0.1,"MSY",0.2,0.8,1,1
