"Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
-0.902427857560407,-0.0325278322345304,5.83351879372222,18120.0152944462,27341.4187036906,277080222.875347
-0.999737903546495,-0.4941919764922,-0.0165369084350509,7929.36319457017,0.995662149876265,389650323.470585
-0.18260134248481,-0.0134556791429992,0.000972470352706323,0.0055383332137787,0.0186521127715053,0.271450960451226
-0.464820623168537,-0.0174316971219677,-0.00126272875885349,-0.00198378991435195,0.0150631101290571,0.290175831716456
-0.47037933917003,-0.0187138404804439,-0.00188926680828236,-0.00268891260099603,0.0142718811814778,0.298366649479236
0,0,0,0,0,0
-1.31876257182049e-15,-4.39587523940163e-16,-1.46529174646721e-16,-2.38985939051119e-16,-1.46529174646721e-16,7.32645873233605e-16
-0.289207491702823,-0.0363097546280686,-0.00333861897331959,0.000640446002243894,0.0283926740036475,0.419511279982223
-0.302408838344571,-0.0412774336340305,-0.00101567330496433,0.00305114279137127,0.0361053978129945,0.610060810519946
-0.999913199562258,-0.059927213171919,0.190633707693035,0.294937337549559,0.60940833152098,3.94863883635783
-5.99999988358216,-0.546690617668517,-0.109429608901276,-0.18696748115533,0.110300000387618,3.91984794261278
-Inf,-Inf,Inf,NA,Inf,Inf
-1.34255746403035,-1.02665205094259,-1.00050183633984,-1.00465847089271,-0.978342495773526,-0.715586234345691
-Inf,-Inf,Inf,NA,Inf,Inf
-0.031082735376392,-0.0013298380352031,-0.00022551968236737,-0.000340012417987034,0.00119104083223819,0.0110631459671574
-Inf,-Inf,Inf,NA,Inf,Inf
-0.022748351036816,-0.0012622021336753,-1.75196115296039e-05,-0.000283942970547111,0.00115133834367147,0.011645766405101
-0.218834925118728,-0.0349340607200373,0.000112958557567182,-0.0026783794173848,0.0306604522878823,0.234560050694543
-0.257903188080645,-0.0411102136295694,0.000368727377442552,-0.00751790870299626,0.0369490998433776,0.260432662050896
-0.240179123959612,-0.0351469458590074,0.000429024768475871,-0.0106195473098597,0.0367406344268089,0.197399044787816
-Inf,-2.44855170530725,-1,NA,0.505801429775357,Inf
-0.15391784373685,-0.0303050052406291,-0.00434535788388463,-0.0035243432250549,0.0229154304020744,0.233273181420997
-0.999989429659446,-0.081207519552611,0.196283293756306,0.296456318586132,0.652797199949354,1.84900082554405
-5.9999999990303,-0.410436019288891,-0.109722894710707,-0.214049013669037,0.0885879821150648,3.72675829548863
